name,Category,mrp,selling_price,offer_percentage,delivery_time(MIN),quantity,scrape_date,scrape_time,location,Delivery_Charges(Handelling+Delivery),Period,Climate,Surge_charges,Platform,mrp_range,sp_range,Stock
Sneha Select Boneless Chicken Breast,Chicken,230,225.0,0,13,500 g,2026-03-03,12:59:42,KPHB colony,36.0,Afternoon,sunny,No,Blinkit,201-300,201-300,true
Super Cool Frozen Skinless Chicken Drumsticksonions(Ulligadda),Chicken,0,0.0,0,0,0.0,2026-03-03,12:59:58,KPHB colony,0.0,Afternoon,sunny,No,Blinkit,,0-50,false
Organically Grown Onion (Ulligadda),Vegetable,0,0.0,0,0,0.0,2026-03-03,13:00:12,KPHB colony,0.0,Afternoon,sunny,No,Blinkit,,0-50,false
Organically Grown Tomato (Desi) (Tamata),Vegetable,35,29.0,17,12,500 g,2026-03-03,13:00:27,KPHB colony,36.0,Afternoon,sunny,No,Blinkit,0-50,0-50,true
Desi Tomato (Tamatar),Vegetable,0,0.0,0,0,0.0,2026-03-03,13:00:44,KPHB colony,0.0,Afternoon,sunny,No,Blinkit,,0-50,false
Hybrid Tomato (Tamatar),Vegetable,0,0.0,0,0,0.0,2026-03-03,13:01:01,KPHB colony,0.0,Afternoon,sunny,No,Blinkit,,0-50,false
FreshToHome Mutton Curry Cut,Meat,799,485.0,0,13,480 g,2026-03-03,13:01:15,KPHB colony,36.0,Afternoon,sunny,No,Blinkit,500+,301-500,true
Premier Mutton Curry Cut,Meat,0,0.0,0,0,0.0,2026-03-03,13:01:28,KPHB colony,0.0,Afternoon,sunny,No,Blinkit,,0-50,false
Potato-(Bangala Dumpa),Vegetable,0,0.0,0,0,0.0,2026-03-03,13:01:46,KPHB colony,0.0,Afternoon,sunny,No,Blinkit,,0-50,false
Oraganically Grown Potato,Vegetable,0,0.0,0,0,0.0,2026-03-03,13:02:01,KPHB colony,0.0,Afternoon,sunny,No,Blinkit,,0-50,false
Orange Carrot,Vegetable,25,20.0,20,12,500 g,2026-03-03,13:02:19,KPHB colony,36.0,Afternoon,sunny,No,Blinkit,0-50,0-50,true
Oragincally Grown Carrot,Vegetable,0,0.0,0,0,0.0,2026-03-03,13:02:35,KPHB colony,0.0,Afternoon,sunny,No,Blinkit,,0-50,false
Green Cucumber (Kheera),Vegetable,0,0.0,0,0,0.0,2026-03-03,13:02:53,KPHB colony,0.0,Afternoon,sunny,No,Blinkit,,0-50,false
"Organically Grown Green Cucumber (Khira, Kheera)",Vegetable,0,0.0,0,0,0.0,2026-03-03,13:03:11,KPHB colony,0.0,Afternoon,sunny,No,Blinkit,,0-50,false
Sneha Select Table White Eggs,Eggs,0,0.0,0,0,0.0,2026-03-03,13:03:30,KPHB colony,0.0,Afternoon,sunny,No,Blinkit,,0-50,false
Hello Eggs Brown Eggs,Eggs,75,64.0,14,14,6 pcs,2026-03-03,13:03:49,KPHB colony,36.0,Afternoon,sunny,No,Blinkit,51-100,51-100,true
Licious White Protein Rich Eggs,Eggs,169,169.0,0,14,12 pcs,2026-03-03,13:04:09,KPHB colony,36.0,Afternoon,sunny,No,Blinkit,101-200,101-200,true
Small Shimla Apple,Fruit,126,105.0,16,14,500 g,2026-03-03,13:04:28,KPHB colony,36.0,Afternoon,sunny,No,Blinkit,101-200,101-200,true
Red Delicious Apple - Imported,Fruit,170,148.0,12,13,225 g,2026-03-03,13:04:43,KPHB colony,36.0,Afternoon,sunny,No,Blinkit,101-200,101-200,true
Granny Smith Apple - USA,Fruit,209,165.0,21,13,300 g,2026-03-03,13:05:03,KPHB colony,36.0,Afternoon,sunny,No,Blinkit,201-300,101-200,true
Banana (Aratipandu),Fruit,33,27.0,18,13,3 pcs,2026-03-03,13:05:22,KPHB colony,36.0,Afternoon,sunny,No,Blinkit,0-50,0-50,true
Raw Banana (Aratipandu),Fruit,0,0.0,0,0,0.0,2026-03-03,13:05:38,KPHB colony,0.0,Afternoon,sunny,No,Blinkit,,0-50,false
Nagpur - Orange (Narinja Pandu),Fruit,78,61.0,21,13,500 g,2026-03-03,13:05:51,KPHB colony,36.0,Afternoon,sunny,No,Blinkit,51-100,51-100,true
Lemon (Nimakaya),Vegetable,46,36.0,21,13,200 g,2026-03-03,13:06:18,KPHB colony,36.0,Afternoon,sunny,No,Blinkit,0-50,0-50,true
Green Chilli (Mirapakaya),Vegetable,14,11.0,21,13,100 g,2026-03-03,13:06:31,KPHB colony,36.0,Afternoon,sunny,No,Blinkit,0-50,0-50,true
Bottle Gourd (Sorakaya),Vegetable,29,24.0,17,13,400 g,2026-03-03,13:06:44,KPHB colony,36.0,Afternoon,sunny,No,Blinkit,0-50,0-50,true
Heritage Fresh Paneer,Paneer,115,101.0,12,12,200 g,2026-03-03,18:56:12,KPHB colony,36.0,Evening,clear,No,Blinkit,101-200,101-200,true
Heritage Nourish+ High Protein Paneer,Paneer,150,125.0,16,12,240 g,2026-03-03,18:56:26,KPHB colony,36.0,Evening,clear,No,Blinkit,101-200,101-200,true
Heritage Daily Health Toned Milk,Milk,32,32.0,0,12,500 ml,2026-03-03,18:56:40,KPHB colony,36.0,Evening,clear,No,Blinkit,0-50,0-50,true
Heritage Full Cream Milk,Milk,42,42.0,0,11,500 ml,2026-03-03,18:56:55,KPHB colony,36.0,Evening,clear,No,Blinkit,0-50,0-50,true
Arokya Full Cream Milk,Milk,42,42.0,0,11,500 ml,2026-03-03,18:57:08,KPHB colony,36.0,Evening,clear,No,Blinkit,0-50,0-50,true
Sids Farm Buffalo A2 Milk,Milk,63,63.0,0,11,500 ml,2026-03-03,18:57:23,KPHB colony,36.0,Evening,clear,No,Blinkit,51-100,51-100,true
Amul Taaza Toned Milk,Milk,16,16.0,0,11,200 ml,2026-03-03,18:57:37,KPHB colony,36.0,Evening,clear,No,Blinkit,0-50,0-50,true
Sids Farm Cow Milk,Milk,44,44.0,0,12,500 ml,2026-03-03,18:57:51,KPHB colony,36.0,Evening,clear,No,Blinkit,0-50,0-50,true
Amul Gold Homogenised Standardised,Milk,80,80.0,0,12,1 ltr,2026-03-03,18:58:05,KPHB colony,36.0,Evening,clear,No,Blinkit,51-100,51-100,true
Amul Buffalo Milk,Milk,40,40.0,0,15,500 ml,2026-03-03,18:58:19,KPHB colony,36.0,Evening,clear,No,Blinkit,0-50,0-50,true
Amul Taaza Homogenised Toned Milk,Milk,75,75.0,0,15,1 ltr,2026-03-03,18:58:33,KPHB colony,36.0,Evening,clear,No,Blinkit,51-100,51-100,true
Amul Fresh Malai Paneer,Paneer,94,94.0,0,15,200 g,2026-03-03,18:58:46,KPHB colony,36.0,Evening,clear,No,Blinkit,51-100,51-100,true
FreshtoHome Chicken - Skinless Curry Cut,Chicken,159,159.0,0,16,450 g,2026-03-03,18:58:59,KPHB colony,36.0,Evening,clear,No,Blinkit,101-200,101-200,true
Sneha Select Boneless Chicken Breast,Chicken,230,225.0,0,16,500 g,2026-03-03,18:59:13,KPHB colony,36.0,Evening,clear,No,Blinkit,201-300,201-300,true
Super Cool Frozen Skinless Chicken Drumsticksonions(Ulligadda),Chicken,160,160.0,0,15,450 g,2026-03-03,18:59:27,KPHB colony,36.0,Evening,clear,No,Blinkit,101-200,101-200,true
Organically Grown Onion (Ulligadda),Vegetable,43,35.0,18,15,500 g,2026-03-03,18:59:40,KPHB colony,36.0,Evening,clear,No,Blinkit,0-50,0-50,true
Organically Grown Tomato (Desi),Vegetable,36,29.0,19,16,500 g,2026-03-03,18:59:53,KPHB colony,36.0,Evening,clear,No,Blinkit,0-50,0-50,true
Desi Tomato (Tamatar),Vegetable,25,17.0,32,16,500 g,2026-03-03,19:00:07,KPHB colony,36.0,Evening,clear,No,Blinkit,0-50,0-50,true
Hybrid Tomato (Tamatar),Vegetable,28,18.0,35,15,500 g,2026-03-03,19:00:21,KPHB colony,36.0,Evening,clear,No,Blinkit,0-50,0-50,true
FreshToHome Mutton Curry Cut,Meat,159,159.0,0,15,450 g,2026-03-03,19:00:35,KPHB colony,36.0,Evening,clear,No,Blinkit,101-200,101-200,true
Premier Mutton Curry Cut,Meat,0,0.0,0,0,0.0,2026-03-03,19:00:47,KPHB colony,0.0,Evening,clear,No,Blinkit,,0-50,false
Potato (Bangala Dumpa),Vegetable,29,24.0,17,15,500 g,2026-03-03,19:01:01,KPHB colony,36.0,Evening,clear,No,Blinkit,0-50,0-50,true
Oraganically Grown Potato,Vegetable,69,59.0,14,15,1 kg,2026-03-03,19:01:14,KPHB colony,36.0,Evening,clear,No,Blinkit,51-100,51-100,true
Orange Carrot,Vegetable,22,19.0,13,15,500 g,2026-03-03,19:01:28,KPHB colony,36.0,Evening,clear,No,Blinkit,0-50,0-50,true
Beetroot,Vegetable,0,0.0,0,0,0.0,2026-03-03,19:01:43,KPHB colony,0.0,Evening,clear,No,Blinkit,,0-50,false
Green Cucumber (Kheera),Vegetable,28,23.0,17,15,500 g,2026-03-03,19:01:57,KPHB colony,36.0,Evening,clear,No,Blinkit,0-50,0-50,true
English Cucumber,Vegetable,28,24.0,14,15,500 g,2026-03-03,19:02:11,KPHB colony,36.0,Evening,clear,No,Blinkit,0-50,0-50,true
Sneha Select Table White Eggs,Eggs,415,415.0,0,15,30 pcs,2026-03-03,19:02:25,KPHB colony,36.0,Evening,clear,No,Blinkit,301-500,301-500,true
Hello Eggs Brown Eggs,Eggs,75,64.0,14,15,6 pcs,2026-03-03,19:02:38,KPHB colony,36.0,Evening,clear,No,Blinkit,51-100,51-100,true
Licious White Protein Rich Egg,Eggs,85,85.0,0,15,6 pcs,2026-03-03,19:02:53,KPHB colony,36.0,Evening,clear,No,Blinkit,51-100,51-100,true
Shimla Apple,Fruit,131,105.0,19,15,500 g,2026-03-03,19:03:07,KPHB colony,36.0,Evening,clear,No,Blinkit,101-200,101-200,true
Red Delicious Apple - Imported,Fruit,180,148.0,17,15,225 g,2026-03-03,19:03:20,KPHB colony,36.0,Evening,clear,No,Blinkit,101-200,101-200,true
Granny Smith Apple,Fruit,206,165.0,19,15,300 g,2026-03-03,19:03:34,KPHB colony,36.0,Evening,clear,No,Blinkit,201-300,101-200,true
Banana (Aratipandu),Fruit,32,27.0,15,15,3 pcs,2026-03-03,19:03:48,KPHB colony,36.0,Evening,clear,No,Blinkit,0-50,0-50,true
Raw Banana (Aratipandu),Fruit,35,31.0,11,15,3 pcs,2026-03-03,19:04:02,KPHB colony,36.0,Evening,clear,No,Blinkit,0-50,0-50,true
Nagpur - Orange,Fruit,75,61.0,18,15,500 g,2026-03-03,19:04:16,KPHB colony,36.0,Evening,clear,No,Blinkit,51-100,51-100,true
Mini Orange (Imported),Fruit,72,57.0,20,15,200 g,2026-03-03,19:04:30,KPHB colony,36.0,Evening,clear,No,Blinkit,51-100,51-100,true
Lemon (Nimakaya),Vegetable,41,36.0,12,16,200 g,2026-03-03,19:04:43,KPHB colony,36.0,Evening,clear,No,Blinkit,0-50,0-50,true
Green Chilli (Mirapakaya),Vegetable,14,12.0,14,16,100 g,2026-03-03,19:04:58,KPHB colony,36.0,Evening,clear,No,Blinkit,0-50,0-50,true
Bottle Gourd (Sorakaya),Vegetable,29,25.0,13,16,400 g,2026-03-03,19:05:12,KPHB colony,36.0,Evening,clear,No,Blinkit,0-50,0-50,true
Heritage Fresh Paneer,Paneer,92,92.0,0,16,200 g,2026-03-03,22:45:41,KPHB colony,36.0,Night,clear,No,Blinkit,51-100,51-100,true
Heritage Nourish+ High Protein Paneer,Paneer,150,125.0,16,16,240 g,2026-03-03,22:45:56,KPHB colony,36.0,Night,clear,No,Blinkit,101-200,101-200,true
Heritage Daily Health Toned Milk,Milk,33,31.0,6,16,450 ml,2026-03-03,22:46:10,KPHB colony,36.0,Night,clear,No,Blinkit,0-50,0-50,true
Heritage Full Cream Milk,Milk,42,42.0,0,16,500 ml,2026-03-03,22:46:24,KPHB colony,36.0,Night,clear,No,Blinkit,0-50,0-50,true
Arokya Full Cream Milk,Milk,42,42.0,0,16,500 ml,2026-03-03,22:46:39,KPHB colony,36.0,Night,clear,No,Blinkit,0-50,0-50,true
Sids Farm Buffalo A2 Milk,Milk,63,63.0,0,16,500 ml,2026-03-03,22:46:53,KPHB colony,36.0,Night,clear,No,Blinkit,51-100,51-100,true
Amul Taaza Toned Milk,Milk,75,75.0,0,16,1 ltr,2026-03-03,22:47:07,KPHB colony,36.0,Night,clear,No,Blinkit,51-100,51-100,true
Sids Farm Cow Milk,Milk,44,44.0,0,16,500 ml,2026-03-03,22:47:21,KPHB colony,36.0,Night,clear,No,Blinkit,0-50,0-50,true
Amul Gold Homogenised Standardised,Milk,75,75.0,0,16,1 ltr,2026-03-03,22:47:36,KPHB colony,36.0,Night,clear,No,Blinkit,51-100,51-100,true
Amul Buffalo Milk,Milk,40,40.0,0,16,500 ml,2026-03-03,22:47:50,KPHB colony,36.0,Night,clear,No,Blinkit,0-50,0-50,true
Amul Taaza Homogenised Toned Milk,Milk,75,75.0,0,16,1 ltr,2026-03-03,22:48:04,KPHB colony,36.0,Night,clear,No,Blinkit,51-100,51-100,true
Amul Fresh Malai Paneer,Paneer,94,94.0,0,16,200 g,2026-03-03,22:48:18,KPHB colony,36.0,Night,clear,No,Blinkit,51-100,51-100,true
FreshtoHome Chicken - Skinless Curry Cut,Chicken,159,159.0,0,16,450 g,2026-03-03,22:48:32,KPHB colony,36.0,Night,clear,No,Blinkit,101-200,101-200,true
Sneha Select Boneless Chicken Breast,Chicken,230,225.0,0,16,500 g,2026-03-03,22:48:47,KPHB colony,36.0,Night,clear,No,Blinkit,201-300,201-300,true
Super Cool Frozen Skinless Chicken Drumsticksonions(Ulligadda),Chicken,160,160.0,0,16,450 g,2026-03-03,22:49:01,KPHB colony,36.0,Night,clear,No,Blinkit,101-200,101-200,true
Organically Grown Onion (Ulligadda),Vegetable,45,35.0,22,16,500 g,2026-03-03,22:49:13,KPHB colony,36.0,Night,clear,No,Blinkit,0-50,0-50,true
Organically Grown Tomato (Desi),Vegetable,45,35.0,22,16,500 g,2026-03-03,22:49:27,KPHB colony,36.0,Night,clear,No,Blinkit,0-50,0-50,true
Desi Tomato (Tamatar),Vegetable,0,0.0,0,0,0.0,2026-03-03,22:49:39,KPHB colony,0.0,Night,clear,No,Blinkit,,0-50,false
Hybrid Tomato (Tamatar),Vegetable,28,18.0,35,17,500 g,2026-03-03,22:49:53,KPHB colony,36.0,Night,clear,No,Blinkit,0-50,0-50,true
FreshToHome Mutton Curry Cut,Meat,159,159.0,0,17,450 g,2026-03-03,22:50:05,KPHB colony,36.0,Night,clear,No,Blinkit,101-200,101-200,true
Premier Mutton Curry Cut,Meat,0,0.0,0,0,0.0,2026-03-03,22:50:18,KPHB colony,0.0,Night,clear,No,Blinkit,,0-50,false
Potato (Bangala Dumpa),Vegetable,27,24.0,11,16,500 g,2026-03-03,22:50:32,KPHB colony,36.0,Night,clear,No,Blinkit,0-50,0-50,true
Oraganically Grown Potato,Vegetable,74,59.0,20,17,1 kg,2026-03-03,22:50:44,KPHB colony,36.0,Night,clear,No,Blinkit,51-100,51-100,true
Orange Carrot,Vegetable,22,19.0,13,17,500 g,2026-03-03,22:50:58,KPHB colony,36.0,Night,clear,No,Blinkit,0-50,0-50,true
Beetroot,Vegetable,0,0.0,0,0,0.0,2026-03-03,22:51:13,KPHB colony,0.0,Night,clear,No,Blinkit,,0-50,false
Green Cucumber (Kheera),Vegetable,27,23.0,14,16,500 g,2026-03-03,22:51:28,KPHB colony,36.0,Night,clear,No,Blinkit,0-50,0-50,true
English Cucumber,Vegetable,30,24.0,20,16,500 g,2026-03-03,22:51:42,KPHB colony,36.0,Night,clear,No,Blinkit,0-50,0-50,true
Sneha Select Table White Eggs,Eggs,415,415.0,0,16,30 pcs,2026-03-03,22:51:57,KPHB colony,36.0,Night,clear,No,Blinkit,301-500,301-500,true
Hello Eggs Brown Eggs,Eggs,75,64.0,14,16,6 pcs,2026-03-03,22:52:10,KPHB colony,36.0,Night,clear,No,Blinkit,51-100,51-100,true
Licious White Protein Rich Egg,Eggs,169,169.0,0,16,12 pcs,2026-03-03,22:52:24,KPHB colony,36.0,Night,clear,No,Blinkit,101-200,101-200,true
Shimla Apple,Fruit,128,105.0,17,16,500 g,2026-03-03,22:52:38,KPHB colony,36.0,Night,clear,No,Blinkit,101-200,101-200,true
Red Delicious Apple - Imported,Fruit,180,148.0,17,16,225 g,2026-03-03,22:52:51,KPHB colony,36.0,Night,clear,No,Blinkit,101-200,101-200,true
Granny Smith Apple,Fruit,206,165.0,19,16,300 g,2026-03-03,22:53:05,KPHB colony,36.0,Night,clear,No,Blinkit,201-300,101-200,true
Banana (Aratipandu),Fruit,31,27.0,12,16,3 pcs,2026-03-03,22:53:19,KPHB colony,36.0,Night,clear,No,Blinkit,0-50,0-50,true
Raw Banana (Aratipandu),Fruit,38,31.0,18,16,3 pcs,2026-03-03,22:53:33,KPHB colony,36.0,Night,clear,No,Blinkit,0-50,0-50,true
Nagpur - Orange,Fruit,75,61.0,18,16,500 g,2026-03-03,22:53:47,KPHB colony,36.0,Night,clear,No,Blinkit,51-100,51-100,true
Mini Orange (Imported),Fruit,67,57.0,14,16,200 g,2026-03-03,22:54:01,KPHB colony,36.0,Night,clear,No,Blinkit,51-100,51-100,true
Lemon (Nimakaya),Vegetable,45,36.0,20,15,200 g,2026-03-03,22:54:14,KPHB colony,36.0,Night,clear,No,Blinkit,0-50,0-50,true
Green Chilli (Mirapakaya),Vegetable,15,12.0,20,15,100 g,2026-03-03,22:54:28,KPHB colony,36.0,Night,clear,No,Blinkit,0-50,0-50,true
Bottle Gourd (Sorakaya),Vegetable,28,25.0,10,15,400 g,2026-03-03,22:54:42,KPHB colony,36.0,Night,clear,No,Blinkit,0-50,0-50,true
Heritage Fresh Paneer,Paneer,115,101.0,12,16,200 g,2026-03-04,09:31:15,KPHB colony,36.0,Morning,Clear,No,Blinkit,101-200,101-200,true
Heritage Nourish+ High Protein Paneer,Paneer,150,125.0,16,16,240 g,2026-03-04,09:31:29,KPHB colony,36.0,Morning,Clear,No,Blinkit,101-200,101-200,true
Heritage Daily Health Toned Milk,Milk,32,32.0,0,16,500 ml,2026-03-04,09:31:44,KPHB colony,36.0,Morning,Clear,No,Blinkit,0-50,0-50,true
Heritage Full Cream Milk,Milk,42,42.0,0,16,500 ml,2026-03-04,09:31:58,KPHB colony,36.0,Morning,Clear,No,Blinkit,0-50,0-50,true
Arokya Full Cream Milk,Milk,42,42.0,0,16,500 ml,2026-03-04,09:32:11,KPHB colony,36.0,Morning,Clear,No,Blinkit,0-50,0-50,true
Heritage Sampurna A2 Buffalo Fresh Milk,Milk,50,46.0,8,16,500 ml,2026-03-04,09:32:24,KPHB colony,36.0,Morning,Clear,No,Blinkit,0-50,0-50,true
Amul Taaza Toned Milk,Milk,29,29.0,0,16,500 ml,2026-03-04,09:32:37,KPHB colony,36.0,Morning,Clear,No,Blinkit,0-50,0-50,true
Sids Farm Cow Milk,Milk,0,0.0,0,0,0.0,2026-03-04,09:32:51,KPHB colony,0.0,Morning,Clear,No,Blinkit,,0-50,false
Amul Moti Toned Milk (90 Days Shelf Life),Milk,29,29.0,0,16,450 ml,2026-03-04,09:33:04,KPHB colony,36.0,Morning,Clear,No,Blinkit,0-50,0-50,true
Amul Buffalo A2 Milk,Milk,40,40.0,0,16,500 ml,2026-03-04,09:33:18,KPHB colony,36.0,Morning,Clear,No,Blinkit,0-50,0-50,true
Amul Taaza Homogenised Toned Milk,Milk,75,75.0,0,16,1 ltr,2026-03-04,09:33:31,KPHB colony,36.0,Morning,Clear,No,Blinkit,51-100,51-100,true
Amul Fresh Malai Paneer,Paneer,94,94.0,0,16,200 g,2026-03-04,09:33:45,KPHB colony,36.0,Morning,Clear,No,Blinkit,51-100,51-100,true
FreshtoHome Chicken - Skinless Curry Cut,Chicken,0,0.0,0,0,0.0,2026-03-04,09:33:59,KPHB colony,0.0,Morning,Clear,No,Blinkit,,0-50,false
Sneha Select Boneless Chicken Breast,Chicken,230,225.0,0,16,500 g,2026-03-04,09:34:14,KPHB colony,36.0,Morning,Clear,No,Blinkit,201-300,201-300,true
Super Cool Frozen Skinless Chicken Drumsticksonions(Ulligadda),Chicken,0,0.0,0,0,0.0,2026-03-04,09:34:28,KPHB colony,0.0,Morning,Clear,No,Blinkit,,0-50,false
Organically Grown Onion (Ulligadda),Vegetable,0,0.0,0,0,0.0,2026-03-04,09:34:40,KPHB colony,0.0,Morning,Clear,No,Blinkit,,0-50,false
Organically Grown Tomato (Desi) (Tamata),Vegetable,33,29.0,12,18,500 g,2026-03-04,09:34:53,KPHB colony,36.0,Morning,Clear,No,Blinkit,0-50,0-50,true
Desi Tomato (Tamatar),Vegetable,0,0.0,0,0,0.0,2026-03-04,09:35:07,KPHB colony,0.0,Morning,Clear,No,Blinkit,,0-50,false
Hybrid Tomato (Tamatar),Vegetable,0,0.0,0,0,0.0,2026-03-04,09:35:23,KPHB colony,0.0,Morning,Clear,No,Blinkit,,0-50,false
FreshToHome Mutton Curry Cut,Meat,799,485.0,0,17,480 g,2026-03-04,09:35:35,KPHB colony,36.0,Morning,Clear,No,Blinkit,500+,301-500,true
Premier Mutton Curry Cut,Meat,0,0.0,0,0,0.0,2026-03-04,09:35:47,KPHB colony,0.0,Morning,Clear,No,Blinkit,,0-50,false
Potato-(Bangala Dumpa),Vegetable,0,0.0,0,0,0.0,2026-03-04,09:36:02,KPHB colony,0.0,Morning,Clear,No,Blinkit,,0-50,false
Oraganically Grown Potato,Vegetable,0,0.0,0,0,0.0,2026-03-04,09:36:14,KPHB colony,0.0,Morning,Clear,No,Blinkit,,0-50,false
Orange Carrot,Vegetable,22,19.0,13,17,500 g,2026-03-04,09:36:28,KPHB colony,36.0,Morning,Clear,No,Blinkit,0-50,0-50,true
Oragincally Grown Carrot,Vegetable,0,0.0,0,0,0.0,2026-03-04,09:36:42,KPHB colony,0.0,Morning,Clear,No,Blinkit,,0-50,false
Green Cucumber (Kheera),Vegetable,0,0.0,0,0,0.0,2026-03-04,09:36:56,KPHB colony,0.0,Morning,Clear,No,Blinkit,,0-50,false
"Organically Grown Green Cucumber (Khira, Kheera)",Vegetable,0,0.0,0,0,0.0,2026-03-04,09:37:11,KPHB colony,0.0,Morning,Clear,No,Blinkit,,0-50,false
Sneha Select Table White Eggs,Eggs,70,42.0,40,16,6 pcs,2026-03-04,09:37:24,KPHB colony,36.0,Morning,Clear,No,Blinkit,51-100,0-50,true
Hello Eggs Brown Eggs,Eggs,75,64.0,14,16,6 pcs,2026-03-04,09:37:38,KPHB colony,36.0,Morning,Clear,No,Blinkit,51-100,51-100,true
Licious White Protein Rich Eggs,Eggs,169,169.0,0,16,12 pcs,2026-03-04,09:37:51,KPHB colony,36.0,Morning,Clear,No,Blinkit,101-200,101-200,true
Small Shimla Apple,Fruit,127,109.0,14,16,500 g,2026-03-04,09:38:05,KPHB colony,36.0,Morning,Clear,No,Blinkit,101-200,101-200,true
Red Delicious Apple - Imported,Fruit,180,148.0,17,16,225 g,2026-03-04,09:38:18,KPHB colony,36.0,Morning,Clear,No,Blinkit,101-200,101-200,true
Granny Smith Apple - USA,Fruit,206,165.0,19,17,300 g,2026-03-04,09:38:32,KPHB colony,36.0,Morning,Clear,No,Blinkit,201-300,101-200,true
Banana (Aratipandu),Fruit,31,27.0,12,17,3 pcs,2026-03-04,09:38:46,KPHB colony,36.0,Morning,Clear,No,Blinkit,0-50,0-50,true
Raw Banana (Aratipandu),Fruit,0,0.0,0,0,0.0,2026-03-04,09:39:00,KPHB colony,0.0,Morning,Clear,No,Blinkit,,0-50,false
Nagpur - Orange (Narinja Pandu),Fruit,76,60.0,21,17,500 g,2026-03-04,09:39:14,KPHB colony,36.0,Morning,Clear,No,Blinkit,51-100,51-100,true
Lemon (Nimakaya),Vegetable,46,36.0,21,17,200 g,2026-03-04,09:39:41,KPHB colony,36.0,Morning,Clear,No,Blinkit,0-50,0-50,true
Green Chilli (Mirapakaya),Vegetable,13,11.0,15,16,100 g,2026-03-04,09:39:55,KPHB colony,36.0,Morning,Clear,No,Blinkit,0-50,0-50,true
Bottle Gourd (Sorakaya),Vegetable,31,25.0,19,16,400 g,2026-03-04,09:40:09,KPHB colony,36.0,Morning,Clear,No,Blinkit,0-50,0-50,true
Heritage Fresh Paneer,Paneer,0,0.0,0,0,0.0,2026-03-04,15:35:08,KPHB colony,0.0,Afternoon,sunny,No,Blinkit,,0-50,false
Heritage Nourish+ High Protein Paneer,Paneer,0,0.0,0,0,0.0,2026-03-04,15:35:22,KPHB colony,0.0,Afternoon,sunny,No,Blinkit,,0-50,false
Heritage Daily Health Toned Milk,Milk,32,32.0,0,15,500 ml,2026-03-04,15:35:35,KPHB colony,36.0,Afternoon,sunny,No,Blinkit,0-50,0-50,true
Heritage Full Cream Milk,Milk,42,42.0,0,15,500 ml,2026-03-04,15:35:48,KPHB colony,36.0,Afternoon,sunny,No,Blinkit,0-50,0-50,true
Arokya Full Cream Milk,Milk,42,42.0,0,15,500 ml,2026-03-04,15:36:01,KPHB colony,36.0,Afternoon,sunny,No,Blinkit,0-50,0-50,true
Heritage Sampurna A2 Buffalo Fresh Milk,Milk,50,46.0,8,15,500 ml,2026-03-04,15:36:15,KPHB colony,36.0,Afternoon,sunny,No,Blinkit,0-50,0-50,true
